stage,pulse_label,timestamp_ms,Id_ref,Iq_ref,Id,Iq,Vd,Vq,vbus,speed,foc_state,fault_flags,app_fault_code
S1_Kp0.30_Ki300,+0.05A,12098250,0.0,0.0,0.003,-0.006,0.0,0.0,11.92,-0.01,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098270,0.0,0.05,-0.105,0.068,0.4,1.496,11.95,0.63,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098290,0.0,0.05,0.08,-0.158,0.317,3.524,11.92,1.86,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098310,0.0,0.05,-0.064,-0.164,0.392,5.808,11.88,3.09,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098330,0.0,0.05,0.083,0.146,0.328,6.881,11.93,4.32,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098350,0.0,0.05,0.003,0.074,0.288,6.855,11.88,5.55,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098370,0.0,0.05,0.031,-0.005,0.216,6.876,11.92,6.75,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098390,0.0,0.05,0.136,0.076,0.15,6.887,11.93,7.98,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098410,0.0,0.05,0.022,0.018,0.062,6.926,12.0,9.21,4,0,0
S1_Kp0.30_Ki300,+0.05A,12098418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
S1_Kp0.30_Ki300,+0.05A,12098430,0.0,0.05,-0.008,0.049,0.002,6.889,11.93,10.44,4,0,0
